"annotation_id","annotator","char_count","created_at","finbert_category","finbert_confidence","id","label","lead_time","paragraph_id","text","ticker","updated_at","year"
511,"1",1485,"2026-02-24T09:14:25.117806Z","Human Capital",0.9953,503,"Human Capital",4.301,"BALL_2022_0005","Total direct compensation is positioned in a competitive range of the applicable market median in each jurisdiction, differentiated based on tenure, skills and performance, and designed to attract and retain the best talent.
​
Health, Safety and Wellness
​
The health, safety and wellness of each of our employees has been one of Ball’s top priorities for many years. Our environmental, health and safety function and our operations executives partner to consistently reinforce policies and procedures that are designed to reduce workplace risks and ensure safe methods of plant production, including through regular training and reporting on injuries and lost-time incidents. Over the past 15 years, we have sponsored a variety of health and wellness programs designed to enhance the physical and mental well-being of our employees around the world. During 2020, the company expanded access to its existing Employee Assistance Program (EAP) to our entire global workforce. The EAP provides employees and their families access to mental health, stress management and support resources during these difficult times.
​
Since the onset of the ongoing novel coronavirus (COVID-19) pandemic, nearly all of our businesses have been deemed essential by the governments where we operate, and our production facilities have operated continuously. During this time, we have put employee health and well-being front and center, and we have adjusted our approach to how work gets done accordingly.","BALL","2026-02-24T09:14:25.117822Z",2022
512,"1",1342,"2026-02-24T09:16:07.433501Z","Human Capital",0.9953,504,"Human Capital",102.074,"EPAM_2022_0024","Our health and safety programs are designed to comply with the regulations in the multiple cities and countries where we operate, but also provide working conditions designed to be compatible with the working necessities of our delivery and administrative operations. In response to the continued unpredictability of the COVID-19 pandemic, we adapted our remote and onsite working policies to conform with current public health guidance. A vast majority of our employees continue to work from home, but for those who choose or need to work in an office setting, we have implemented safety measures and developed policies or refined safe working technologies for those employees who work in our or our customers’ facilities. Recognizing that the lingering uncertainty associated with the COVID-19 pandemic and remote work could continue to significantly disrupt the work-life balance and wellness of our employees, we increased employee awareness of the programs we offer to support and enhance our employees’ mental, financial, and physical well-being and provided parenting and caregiver resources. Recruitment, Training and Utilization:
 As an innovation-driven business in a competitive industry, our success depends on hiring the most talented employees, training and developing that talent, and deploying them to satisfy customer demand.","EPAM","2026-02-24T09:16:07.433513Z",2022
513,"1",524,"2026-02-24T09:16:09.759772Z","Human Capital",0.9953,505,"Human Capital",2.094,"GNRC_2024_0127","Health, wellness and safety
 – Employee health and safety is the Company’s top priority. Generac’s total rewards program is based on the four pillars of balance, security, well-being and community. These programs are designed to meet the varied and evolving needs of our diverse workforce. We maintain an employee wellness program, incentivize healthy-living activities, and we develop and administer company-wide policies to help ensure the safety of each employee and compliance with government agency and other standards.","GNRC","2026-02-24T09:16:09.759783Z",2024
514,"1",1381,"2026-02-24T09:16:13.371794Z","Human Capital",0.9953,506,"Human Capital",3.389,"IDXX_2024_0020","In addition, all employees have access to financial education and our employees, their spouses, and adult dependents in North America, can engage with a financial coach for help reaching their personal financial goals. We continue to strengthen our approach to maximize the contributions of all through our commitment to flexible work options. This allows managers, teams, and employees to work together to identify the most efficient way to accomplish goals. For some teams this consists of 100% onsite work, while others employ remote or hybrid models. Our goal is to promote a positive workplace environment where everyone can contribute to their fullest potential. We strive to build a collaborative culture through in-person and virtual events, including town halls, in-office celebrations, and employee-led communities. Ensuring the health, safety, and well-being of our employees is a top priority at IDEXX. We provide our employees with the training, tools, and resources they need to safeguard their health and we empower them to put safety first. Our Environmental Health & Safety (“EH&S”) team oversees the IDEXX EH&S management system and our company-wide safety programs, ensuring that all of our locations implement health and safety processes to maintain and improve employee safety, reduce workplace risks, and drive continuous improvement. Growth and Development
.","IDXX","2026-02-24T09:16:13.371827Z",2024
515,"1",1301,"2026-02-24T09:16:17.689301Z","Human Capital",0.9953,507,"Human Capital",4.081,"IEX_2021_0028","Workplace Health & Safety

We are proud to manufacture product components that save lives; this would not be possible without the health and safety of our employees and contractors. The Company’s Employee Health & Safety (“EH&S”) Vision Policy outlines our approach for health and safety governance and applies to all of the Company’s business units and provides for both monthly and annual 

risk assessments which are reviewed by the Company’s senior leaders. We also require safety trainings on topics such as CPR, electrical safety, ergonomics, first aid and machine guarding that all business unit employees must complete every year. We also encourage all our full-time employees enrolled in our U.S. Healthcare Benefit Plan to participate in our third-party operated Wellness Program which provides access to annual biometric screenings, health evaluations and wellness credits that can be earned for meeting individual wellness goals each year. A number of our business units organize complementary wellness programs, including walking clubs, health fairs and lunch and learns with nutritionists for their employees. At the beginning of the COVID-19 pandemic, we acted quickly, forming the IDEX COVID-19 Task Force to protect our employees from the virus, focusing on our safety-first approach.","IEX","2026-02-24T09:16:17.689309Z",2021
516,"1",1324,"2026-02-24T09:25:27.769681Z","Human Capital",0.9953,508,"Human Capital",549.832,"JKHY_2021_0051","Training and Development
Our success depends not only on attracting and retaining talented employees, but also in developing our current employees and providing new opportunities for their growth. We offer our employees numerous live and on-demand training programs and resources to help them build knowledge and improve skills. These trainings include mandatory programs, such as security awareness, as well as recommended but optional programs, such as a recent training on mitigating unconscious bias that received a high level of participation and led many of our employees to take a personal pledge to support inclusion in the workplace. Self-developer weeks specifically allow employees the opportunity to sign-up for curated courses covering topics such as technology trends and JKHY products and services. Through our BIGs, we also offer opportunities for employees to advance their knowledge of diversity, equity, and inclusion matters. Recognizing the importance of mentoring in career development, we host an internal mentorship marketplace, which allows prospective mentors and mentees to connect and self-initiate a mentoring relationship. We also provide an internal mobility marketplace, which offers career coaching and tools for employees to create personalized development plans and build peer connections.","JKHY","2026-02-24T09:25:27.769691Z",2021
517,"1",1256,"2026-02-24T09:25:30.891740Z","Human Capital",0.9953,509,"Human Capital",2.861,"K_2023_0031","The ongoing COVID-19 pandemic has led to unique challenges and we are striving to ensure the health, safety, and general well-being of our colleagues. We continue to evolve our programs to meet our colleagues’ health and wellness needs, which we believe is essential to attract and retain employees of the highest caliber, and we offer a competitive benefits package focused on fostering work/life integration. Our global employee wellbeing framework, ""My Total Health,"" addresses physical, financial, social and emotional wellbeing to support our employees' personal goals. On an ongoing basis, we focus on each aspect of wellbeing and provide useful information, education, tools and resources. In North America, our “Find your Wings” employee assistance program provides access to valuable Mental Health resources. In addition, our “Lean on Me” program trains employees on how to identify other employees that may be struggling with mental health challenges and pointing them towards our available resources. We also provide company paid access to gyms and mindfulness resources in many parts of the world. Most of our locations now use the My Total Health framework to guide how they communicate and engage with employees in support of their wellbeing.","K","2026-02-24T09:25:30.891751Z",2023
518,"1",1105,"2026-02-24T09:25:37.327173Z","Human Capital",0.9953,510,"Human Capital",6.141,"K_2024_0029","We continue to evolve our programs to meet our colleagues’ health and wellness needs, which we believe is essential to attract and retain employees of the highest caliber, and we offer a competitive benefits package focused on fostering work/life integration. Our global employee wellbeing framework, ""My Total Health,"" addresses physical, financial, social and emotional wellbeing to support our employees' personal goals. On an ongoing basis, we focus on each aspect of wellbeing and provide useful information, education, tools and resources. In North America, our “Find your Wings” employee assistance program provides access to valuable Mental Health resources. In addition, our “Lean on Me” program trains employees on how to identify other employees that may be struggling with mental health challenges and pointing them towards our available resources. We also provide company paid access to gyms and mindfulness resources in many parts of the world. Most of our locations now use the My Total Health framework to guide how they communicate and engage with employees in support of their wellbeing.","K","2026-02-24T09:25:37.327184Z",2024
519,"1",1448,"2026-02-24T09:25:42.720771Z","Human Capital",0.9953,511,"Human Capital",5.134,"KLAC_2023_0045","We seek competitiveness and fairness in total compensation relative to peer comparisons and internal equity. We provide long-term incentives to a broad base of employees to share in our success through restricted stock units (“RSU”) and an Employee Stock Purchase Plan (“ESPP”). We also provide bonus plans and profit sharing to employees who do not receive RSUs. In addition to providing our employees with competitive compensation packages, we have built out a robust suite of benefits to help foster the well-being of all employees. Our benefits are designed to meet the needs of employees and their families, including paid time off, parental leave, bereavement leave, health insurance coverage, flexible work arrangements, contributions to retirement savings and access to employee assistance and work-life programs. We also offer programs to employees to help improve their health and wellness habits. KLA’s virtual and in-person wellness course offerings span both physical and mental health. We offer in-person and virtual workout classes as well as seminars on mindfulness, meditation and other wellness topics. We hold online fitness and well-being classes that include body-tune-up, yoga and nutrition as well as the maintenance of life balance and the importance of sleep, hydration and relaxation. Throughout our sites, we host a series of events and challenges, both virtually and in person, to encourage our employees to stay active.","KLAC","2026-02-24T09:25:42.720783Z",2023
520,"1",1445,"2026-02-24T09:25:48.676023Z","Human Capital",0.9953,512,"Human Capital",5.706,"MSFT_2024_0022","Our Occupational Health and Safety program helps to protect employees’ safety while they are working. We also have introduced Hybrid Workplace Flexibility guidance to better support leaders, managers, and employees in hybrid work scenarios. We believe providing employees with access to continual learning enables them to drive impact for the company. We provide individuals and teams with access to first and third-party content resources across professions, disciplines, and roles, and offer skilling opportunities to support employees’ growth while driving organizations’ needs. Our employee listening systems enable us to gather feedback directly from our workforce to inform our programs and employee needs globally, giving us real-time insights into ways we can support our employees. As a company, we will continue to leverage data and research to inform decision making, balancing the needs of the business, team, and individual. OPERATING SEGMENTS

We operate our business and report our financial performance using three segments: Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. Our segments provide management with a comprehensive financial view of our key businesses. The segments enable the alignment of strategies and objectives across the development, sales, marketing, and services organizations, and they provide a framework for timely and rational allocation of resources within businesses.","MSFT","2026-02-24T09:25:48.676034Z",2024
521,"1",1484,"2026-02-24T09:25:56.339767Z","Human Capital",0.9953,513,"Human Capital",7.43,"REGN_2021_0145","Employee Wellness, Health, and Safety

The wellbeing of our employees is a primary focus as we believe that the most productive people are those who are at their best, both physically and mentally. We provide several programs related to employee health and wellness, including onsite amenities and programs such as meditation rooms, gyms, and farmers' markets. We also provide support for work-life balance through flex-time, remote working arrangements, child and elder care, and paid parental leave, among others. Occupational health and safety is critical to our success. We are committed to meeting or exceeding all environmental, health, safety (""EHS""), and security regulations and have a range of programs, plans, and procedures to ensure the safety of all people who come to work at Regeneron. In addition, our 2025 global responsibility goals include a commitment to focus on workplace injury prevention in our drive toward zero incidents. In response to the COVID-19 pandemic, we implemented changes in our business beginning in March 2020 to protect our employees and support appropriate health and safety protocols. For example, we have implemented work-from-home policies for a significant portion of our employees. For these remote employees, we provide ergonomic evaluations of at-home workstations, support information technology needs, and provide guidance for managers to ensure that employees remain connected and maintain physical, mental, and emotional wellbeing.","REGN","2026-02-24T09:25:56.339778Z",2021
522,"1",1366,"2026-02-24T09:48:19.820585Z","Human Capital",0.9953,514,"Human Capital",1343.227,"RMD_2023_0122","Equal opportunity and pay equity are integral to our pay philosophy, and we have processes in place to identify and address any potential pay equity issues where appropriate. Employee Health & Safety 
We believe maintaining a physically safe and mentally healthy working environment is essential in supporting our people to deliver their best work. We employ global standards to provide the framework for our locally compliant, integrated and effective health and safety management systems which enable the capability, autonomy & accountability of the leaders to manage local sites. Our approach is to place health & safety as a positive contributor to innovation, continuous improvement and business sustainability through focusing on making work easier, which in turn makes work safer and more efficient. Employee Engagement & Wellbeing
We regularly seek employee feedback and sentiment about our workplace through global engagement surveys that enable our people to comment on matters related to their employment experience. We openly share the survey results throughout the company and encourage teams to put in place action plans at global and local levels to address priority issues. Where benchmarks are available, our results are evaluated against comparable peer groups. We are committed to improving the quality of life of our employees and their families.","RMD","2026-02-24T09:48:19.820596Z",2023
523,"1",364,"2026-02-24T09:48:22.832909Z","Human Capital",0.9953,515,"Human Capital",2.765,"URI_2015_0018","Employee Training Programs

.
 We are dedicated to providing training and development opportunities to our employees. In 

, our employees enhanced their skills through over 460,000 hours of training, including safety training, sales and leadership training, equipment-related training from our suppliers and online courses covering a variety of relevant subjects.","URI","2026-02-24T09:48:22.832918Z",2015
524,"1",364,"2026-02-24T09:48:25.388556Z","Human Capital",0.9953,516,"Human Capital",2.31,"URI_2020_0020","Employee Training Programs

.
 We are dedicated to providing training and development opportunities to our employees. In 

, our employees enhanced their skills through over 700,000 hours of training, including safety training, sales and leadership training, equipment-related training from our suppliers and online courses covering a variety of relevant subjects.","URI","2026-02-24T09:48:25.388564Z",2020
525,"1",1119,"2026-02-24T09:48:34.408052Z","Human Capital",0.9953,517,"Human Capital",8.751,"VRSN_2024_0009","Employee Health, Safety and Well-being:
 We are committed to maintaining a safe and healthy environment for our employees. We have a robust physical safety and security program, including a life safety program which trains employees on appropriate emergency responses. We also offer a holistic wellness experience for our employees through our internal employee wellness program, called Mindful Connections, that supports employees across three pillars: physical, emotional, and financial. We support a hybrid work posture where our employees operate under team agreements that set the foundation for operating norms and allows employees to create work schedules that align with corporate and individual needs. This provides employees more flexibility to manage a healthy work-life balance. Our offices continue to be utilized to enhance collaboration, networking, and strategic discussion. The following table shows a comparison of our consolidated employee headcount, by function:
As of December 31,

Employee headcount by function:
Cost of revenues
Research and development
Selling, general and administrative

Total","VRSN","2026-02-24T09:48:34.408066Z",2024
526,"1",1318,"2026-02-24T09:48:37.789398Z","Human Capital",0.9953,518,"Human Capital",3.136,"XYL_2024_0043","We offer Employee Network Groups, which are voluntary, employee-led groups formed by people with a common affinity, such as gender, race, sexual orientation and gender identity, military status or other attributes. Each Employee Network Group is sponsored and supported by one or more senior leaders and all groups are open to all employees regardless of any diversity attributes with which they may identify. Collectively, approximately 4,400 colleagues participate as members of our network groups. Health and Safety
Protecting the safety, health and well-being of our colleagues is one of our highest priorities. We have a strong Environmental, Health and Safety program that focuses on governance, risk reduction, training and education, and leadership accountability to provide our colleagues with safe and healthy workplaces. Based on historical employee engagement survey feedback, we have augmented our holistic well-being strategies, including the expansion of our Employee Assistance Program support across the globe and mental health awareness training to our people leaders. Compensation and Benefits
Xylem strives to provide our colleagues with competitive compensation and benefits and takes a total rewards approach that integrates programs for compensation, benefits, recognition and work-life balance.","XYL","2026-02-24T09:48:37.789410Z",2024
527,"1",1429,"2026-02-24T09:48:47.706987Z","Human Capital",0.9952,519,"Human Capital",9.689,"AIZ_2023_0041","We have advanced our commitment to pay transparency, particularly in North America, by providing employees with base salary ranges for their role and grade beginning in 2023. Total Rewards and Wellbeing 
We are committed to the health and safety of our employees as we believe the success of our business is directly connected to their wellbeing. In addition to providing robust compensation and benefits programs and opportunities to invest in their financial future, we offer employees and their families access to a variety of health and wellness programs. Our Total Rewards programs help to provide protection and security related to events that may require time away from work or that impact their financial wellbeing, such as paid time off, family leave, family care resources and flexible work schedules. Our Global Employee Assistance Plan provides additional support to help employees and their families access critical resources for their wellbeing, including financial, physical and mental health. We regularly benchmark our Total Rewards against companies of similar size and industries to ensure our offerings remain competitive and solicit employee feedback on the evolving needs of our workforce. In 2022, we conducted employee focus groups that helped validate that recommended plan changes for 2023 met the needs of our diverse workforce particularly around predictability and affordability of health care costs.","AIZ","2026-02-24T09:48:47.706998Z",2023
528,"1",1344,"2026-02-24T09:48:49.697510Z","Human Capital",0.9952,520,"Human Capital",1.747,"AXON_2023_0011","We believe that our ability to retain our workforce is dependent 

upon fostering an environment that is sustainably safe, respectful, fair and inclusive of everyone and promotes diversity, equity and inclusion inside and outside of our business. Internally, we continue to listen to our employees with town hall sessions, provide expert-led webinars, and host community round tables. Health and Safety
The health and safety of our employees is of utmost importance to us. We conduct regular self-assessments and audits to ensure compliance with our health and safety guidelines and regulatory requirements. Our ultimate goal is to achieve a level of work-related injuries as close to zero as possible through continuous investment in our safety programs. We provide protective gear (e.g. eye protection, masks and gloves) as required by applicable standards and as appropriate given employee job duties. To promote mental and emotional wellbeing, all full-time employees are provided free, unlimited access by Axon to Ginger. Ginger is a 24/7 resource that includes individualized coaching via text in addition to access to articles and activities offering guidance on maintaining emotional balance throughout tumultuous times. Additionally, we have a Wellness Incentive Program for our domestic employees that incentivizes healthy lifestyles.","AXON","2026-02-24T09:48:49.697531Z",2023
529,"1",1477,"2026-02-24T09:48:55.738025Z","Human Capital",0.9952,521,"Human Capital",5.79,"BIIB_2024_0116","The survey is designed to empower managers and leaders with anonymous information on their practices related to building culture, performance and an engaged workforce, allowing them to create plans and measure efficacy for continuous improvement. We care deeply about employee feedback and are building an analytics community across Human Resources to bring more rigor and sophistication to the collection and analysis of employee opinions. We use their perspectives to guide us to take actions that improve engagement and support and help maintain our reputation as a great place to work for all our employees. WORKPLACE HEALTH AND SAFETY
The well-being of our employees is the priority, and we believe every employee plays a role in creating a safe and healthy workplace. Our employees have varied roles and functions, which is why we empower them to promote a safe working environment, regardless of whether work happens in the lab, in an office or in a manufacturing plant. Our policies and practices are intended to protect not only our employees, but also the surrounding communities where we operate. In 2023 we continued to make significant progress integrating Human Performance into our Environment, Health and Safety programs. We believe that, when it comes to safety, workers are part of the solution. We encourage employees to collaboratively engage in proactive problem solving through practices such as Open Reporting and Work Observation and Risk Conversations.","BIIB","2026-02-24T09:48:55.738034Z",2024
530,"1",1394,"2026-02-24T09:57:10.883407Z","Human Capital",0.9952,522,"Human Capital",494.874,"CHRW_2023_0016","This process drives succession planning for critical roles in the organization. As new employees join C.H. Robinson, they are provided onboarding that emphasizes the skills necessary to become productive employees, including training on our proprietary technology systems, our customer service philosophy, and our company culture, values, DEI which includes unconscious bias training, and Leadership Principles. Onboarding is followed by on-the-job training and regular performance and development conversations between employees and their managers. Throughout an employee’s career at C.H. Robinson, we develop and recognize employees by setting clear performance expectations and providing development opportunities. All employees have access to a digital learning platform that supports their ongoing development. Employees can also explore potential roles and career paths through an online resource center, where they are provided resources about performance and development, along with information about how they are supported and rewarded for the work they do. Wellness, Benefits, and Compensation 
At C.H. Robinson, we take a comprehensive view on the importance of supporting our employees’ health and well-being. Our total rewards strategies support employees’ health, wealth, and self and incorporate market-competitive pay and comprehensive benefit programs for all global employees.","CHRW","2026-02-24T09:57:10.883419Z",2023
531,"1",1430,"2026-02-24T09:57:12.998820Z","Human Capital",0.9952,523,"Human Capital",1.874,"DAL_2021_0026","The health and safety of our employees is foundational to achieving these objectives. We have long led the airline industry in employee safety and seek to achieve world-class personal safety performance. In response to the COVID-19 pandemic, we created pay protection programs for employees with symptoms, diagnosed, exposed or at high risk for severe illness from COVID-19 and established a notification process for potential COVID-19 exposure. We also assembled a COVID-19 task force to develop a series of safety measures in an effort to protect our employees and customers, including offering on-site rapid COVID-19 testing in most locations and making at-home testing available for all U.S.-based employees, and offering a return-to-work safety training program. Our commitment to diversity, equity and inclusion is also critical to effective human capital management at Delta. As a global airline, we are in the business of bringing people together, and we believe our business should reflect the diversity of our customer base. To achieve this goal, we seek diverse talent internally and externally in an effort to achieve broader diverse representation throughout our organization. We also promote inclusion through education, training and development opportunities as well as by leveraging insights from our business resource groups, of which approximately one-third of our employees were members as of December 31, 2020.","DAL","2026-02-24T09:57:12.998828Z",2021
532,"1",1336,"2026-02-24T09:57:17.097880Z","Human Capital",0.9952,524,"Human Capital",3.839,"DAL_2022_0033","We have long led the airline industry in employee safety and seek to achieve world-class personal safety performance. We have prioritized the health and safety of our employees by offering an extensive employee COVID-19 testing program, partnering with Georgia to host the state’s largest COVID-19 vaccination site while steadily increasing the vaccination rate among our employees, providing pay protection programs for employees diagnosed with, exposed to or at high risk from COVID-19 and offering free flu shots for all U.S. employees. Our commitment to diversity, equity and inclusion is critical to effective human capital management at Delta. As a global airline, we are in the business of bringing people together, and we believe our business should reflect the diversity of our customer base. To achieve this goal, we seek diverse talent internally and externally in an effort to achieve broader representation throughout our organization. We also promote inclusion through education, training and development opportunities as well as by leveraging insights from our ten employee resource groups, which we refer to as business resource groups, totaling membership of more than 25,000 as of December 31, 2021. During 2021, we offered enhanced inclusion training to our employees, with more than
 
62,000 employees participating.","DAL","2026-02-24T09:57:17.097894Z",2022
533,"1",650,"2026-02-24T09:57:25.682102Z","Human Capital",0.9952,525,"Human Capital",8.334,"DOC_2022_0039","Health, Safety, and Wellness:

The health, safety, and wellness of our employees are vital to our success. We are committed to protecting the well-being and safety of employees through special training and other measures. In light of the continuing Covid pandemic in 2021, we continued to maintain a remote work environment and provide employees with resources, including virtual tools and ergonomic equipment, to maximize work-from-home efficiency. We also introduced a voluntary hybrid return-to-work model for our vaccinated team members that we plan to utilize when we can do so safely, which we believe will maximize company-wide productivity.
•","DOC","2026-02-24T09:57:25.682114Z",2022
