"annotation_id","annotator","char_count","combined_text","created_at","filing_date","finbert_confidence","finbert_label","id","label","lead_time","paragraph_id","risk_heading","risk_section","ticker","updated_at"
2006,"1",2039,"Legal, Regulatory, and Environmental, Climate and Weather Risks
For example, in 2017, the California state legislature adopted Assembly Bill 398, which provides direction and parameters on utilizing cap and trade after 2020 to meet the 40% reduction target for GHG emissions from 1990 levels by 2030 specified in Senate Bill 32. Compliance with the cap and trade program is demonstrated through a market-based credit system. Additionally, on August 25, 2022, the CARB adopted regulations that effectively ban the in-state sales of new cars containing internal combustion engines beginning in 2035. Also, on December 15, 2022, CARB adopted its “2022 Scoping Plan for Achieving Carbon Neutrality,” which purports to provide a road map for California to achieve carbon neutrality (which it defines as removing as many carbon emissions from the atmosphere as it emits) by year 2045. Other states are proposing, or have already promulgated, low carbon fuel standards or similar initiatives to reduce emissions from the transportation sector. If we are unable to pass the costs of compliance on to our customers, sufficient credits are unavailable for purchase, we have to pay a significantly higher price for credits, or if we are otherwise unable to meet our compliance obligation, our financial condition and results of operations could be adversely affected. Additionally, certain states have recently passed legislation seeking to recover financial damages allegedly associated with climate change from fossil fuel companies like the Vermont Climate Superfund Act passed by the Vermont Legislature in May 2024. The future of the U.S.’s climate change strategy and the impact to our industry and operations due to further GHG regulation is unknown at this time. Federal, regional and state climate change and air emissions goals and regulatory programs are complex, subject to change and impose considerable uncertainty due to a number of factors including technological feasibility, legal challenges and potential changes in federal policy.","2026-03-16T01:19:54.135167Z","2025-02-21",0.9953,"Climate Change",1011,"Climate Change",8.663,"PSX_2025_RISK_052","Legal, Regulatory, and Environmental, Climate and Weather Risks","Competition Risks","PSX","2026-03-16T01:19:54.135176Z"
2007,"1",169,"Risks related to regulatory or legal challenges
Our manufacturing operations are subject to environmental laws and regulations and initiatives to address climate change.","2026-03-16T01:19:57.926372Z","2025-02-20",0.9946,"Climate Change",1012,"Non-ESG",6.311999999999999,"NXPI_2025_RISK_049","Risks related to regulatory or legal challenges","Risks related to our business operations","NXPI","2026-03-16T01:21:37.572897Z"
2008,"1",1260,"Risks Related to the Operation of Our Business
The production of wind energy depends heavily on suitable wind conditions, which are variable. If wind conditions are unfavorable or below our estimates, our electricity production, and therefore our revenues and PTCs earned from our non-utility renewable energy facilities, may be substantially below our expectations. We base our decisions about which sites to acquire and operate in part on the findings of long-term wind and other meteorological data and studies conducted in the proposed area, which measure the wind’s speed and prevailing direction and seasonal variations. Actual conditions at these sites, however, may not conform to the measured data in these studies. For example, if there is an increase in frequency and severity of weather conditions, the disruptions to our sites may become more frequent and severe. For the majority of our non-utility renewable energy operations, we have entered into long-term PPAs with a small number of customers to purchase the energy produced by our facilities. Although initial agreements are often ten years or more, in the future we may not be able to replace expiring PPAs related to our non-utility renewable energy facilities with contracts on acceptable","2026-03-16T01:20:21.674763Z","2023-02-23",0.9937,"Climate Change",1013,"Climate Change",23.212,"WEC_2023_RISK_050","Risks Related to the Operation of Our Business","","WEC","2026-03-16T01:20:21.674774Z"
2009,"1",219,"Risks Related to Our Company, Business and Operations
Climate change, or legal, regulatory or market measures to address climate change, may negatively affect our business, financial condition and results of operations.","2026-03-16T01:21:30.713154Z","2026-01-22",0.9936,"Climate Change",1014,"Non-ESG",68.504,"MKC_2026_RISK_037","Risks Related to Our Company, Business and Operations","","MKC","2026-03-16T01:21:30.713165Z"
2010,"1",1993,"Debt/Liquidity Related Risk Factors
and various state and foreign government and regulatory agencies have enacted or are considering new environmental regulations and policies aimed at restricting or taxing emissions, including those of greenhouse gases, requiring the use of low-sulfur fuels, requiring the use of shore power while in port, increasing fuel efficiency requirements, reducing the threat of invasive species in ballast water, and improving sewage and greywater-handling capabilities. For example, in 2021, the IMO adopted two requirements that went into effect in 2023, the Carbon Intensity Indicator (the “CII”) and Energy Efficiency Ship Index (the “EEXI”), which each regulate carbon emissions for ships. The CII is an operational metric designed to measure how efficiently a ship transports goods or passengers by looking at carbon dioxide emissions per nautical mile. Ships are given an annual rating from A to E with a C or better required for compliance. For ships that receive a D rating for three consecutive years, or an E rating for one year, a corrective action plan will need to be developed and approved. Beginning in 2023, ships are now required to reduce carbon intensity by 5% from a 2019 baseline, with 2% incremental improvements each year thereafter until 2030. The EEXI is a design re-certification requirement that updates energy efficiency requirements for existing ships and regulates carbon dioxide emissions related to installed engine power, transport capacity and ship speed. The maritime shipping sector has been included in the E.U.’s Emissions Trading System since the beginning of 2024. Under the directive ships over 5,000 Gross Tons that transport passengers or cargo to or from E.U. member state or EEA ports are required to purchase and surrender emissions allowances equivalent to emissions for all or a half of a covered voyage, depending on whether the voyage was between two E.U. or EEA ports or an E.U. or EEA and a non-E.U. or EEA port.","2026-03-16T01:22:02.254969Z","2025-02-27",0.9911,"Climate Change",1015,"Climate Change",19.798,"NCLH_2025_RISK_034","Debt/Liquidity Related Risk Factors","Debt/Liquidity Related Risk Factors","NCLH","2026-03-16T01:22:02.254976Z"
2011,"1",1847,"Legal, Government, and Regulatory Risks
Many government authorities across the world have imposed, and may impose in the future, laws, regulations, and policies designed to facilitate less petroleum-dependent modes of transportation (e.g., increases in fuel economy or efficiency standards, low-carbon fuel standards, restrictions and bans on vehicles using internal combustion engines, tariffs, duties, tax incentives, and EV subsidies), which could reduce demand for our petroleum-based products and/or all liquid transportation fuels. For example, CARB’s current Scoping Plan identifies strategies to reduce liquid petroleum consumption in California by 94 percent by 2045, and CARB has approved a series of related rulemakings discussed below. The European Union (EU), the U.K., Canada, and Quebec have each adopted what they refer to as “zero-emissions vehicle” mandates and other government authorities across the world, such as Mexico, Quebec, and other U.S. states have also announced, adopted, or are considering, restrictions on the sale of new internal combustion engine vehicles, stricter tailpipe emissions standards, and/or limitations on or penalties on the use of certain petroleum-based products and biofuel feedstocks. The U.S. federal government under the previous presidential administration was also aggressive in the scope, magnitude, and number of actions it took for the stated purpose of addressing GHG emissions and other environmental matters, including efforts to limit or eliminate petroleum-dependent modes of transportation. For example, the previous administration utilized a “whole of government” approach to climate-related initiatives that sought to organize and deploy the full capacity of the U.S. federal government in novel and coordinated ways to limit or eliminate the use of most petroleum-based products.","2026-03-16T01:22:06.987138Z","2025-02-26",0.9954,"Climate Change",1016,"Climate Change",4.193,"VLO_2025_RISK_028","Legal, Government, and Regulatory Risks","Legal, Government, and Regulatory Risks","VLO","2026-03-16T01:22:06.987148Z"
2012,"1",202,"Industry Specific Risk Factors
Emerging customer preferences for greater product transparency and less GHG intensive materials may put us at a competitive disadvantage or reduce demand for our products.","2026-03-16T01:22:14.063052Z","2022-02-28",0.9938,"Climate Change",1017,"Non-ESG",6.574,"NUE_2022_RISK_018","Industry Specific Risk Factors","Industry Specific Risk Factors","NUE","2026-03-16T01:22:14.063061Z"
2013,"1",159,"Risks Related to Legal and Regulatory Matters
We may be adversely affected by global climate change or by legal, regulatory or market responses to such change.","2026-03-16T01:22:25.807846Z","2022-01-31",0.992,"Climate Change",1018,"Non-ESG",11.244,"BA_2022_RISK_047","Risks Related to Legal and Regulatory Matters","Risks Related to Our Contracts","BA","2026-03-16T01:22:25.807857Z"
2014,"1",1870,"Wildfire Mitigation Efforts
Electric utilities in California are experiencing increasing deployment of DER, such as solar generation, energy storage and energy efficiency and demand management technologies, and California’s environmental policy objectives are accelerating the pace and scope of these changes. This growth of DER and demand management will require further modernization of the electric distribution grid to, among other things, accommodate increasing two-way flows of electricity and increase the grid’s capacity to interconnect these resources. In addition, enabling California’s clean energy goals will require sustained investments in grid modernization, renewable integration projects, energy efficiency programs, energy storage options, operational and data management systems, and electric vehicle infrastructure. The growth of third-party energy storage alternatives and other technologies also may increasingly compete with SDG&E’s traditional transmission and distribution infrastructure in delivering electricity to consumers. The CPUC is conducting several proceedings regarding DER and demand management, including the evaluation of various projects and pilots; changes to the planning and operation of the electric distribution grid to prepare for higher penetration of DER; future grid modernization and grid investments; the deferral of traditional grid investments by DER; and the role of the electric distribution grid operator. These proceedings and the broader changes in California’s electricity industry could result in new regulations, policies and/or operational changes that could materially adversely affect SDG&E’s and Sempra’s results of operations, financial condition, cash flows and/or prospects. SDG&E provides bundled electric procurement service through various resources that are typically procured on a long-term basis.","2026-03-16T01:22:30.885215Z","2023-02-28",0.9866,"Climate Change",1019,"Climate Change",4.575,"SRE_2023_RISK_065","Wildfire Mitigation Efforts","Wildfire Mitigation Efforts","SRE","2026-03-16T01:22:30.885226Z"
2015,"1",178,"Risks Relating to Our Business and Industry
Our business may be adversely impacted by climate-related events, natural disasters, including wildfires, and other unforeseen events.","2026-03-16T01:22:41.404082Z","2025-03-14",0.9748,"Climate Change",1020,"Non-ESG",9.997,"CCI_2025_RISK_043","Risks Relating to Our Business and Industry","Risks Relating to Our Business and Industry","CCI","2026-03-16T01:22:41.404092Z"
2016,"1",1111,"Risks Related to Sustainability, Regulatory and Legal Matters
For further discussion of the potential impact of such risks on our financial condition, cash flows and results of operations, see the discussion below in this section and in the section above entitled ""Risks Related to Our Operations.""In addition, the enactment of climate change-related regulations, policies and initiatives (at the government, corporate and/or investor community levels) may also result in increases in our compliance costs and other operating costs. For further discussion regarding the risks to us of climate change-related regulations, policies and initiatives, see the discussion in this section. Also, continuing political and social concerns relating to climate change may have adverse effects on our business and operations, such as a greater potential for shareholder activism, governmental inquiries and enforcement actions and litigation (including, but not limited to, litigation brought by governmental entities and shareholder litigation) and resulting expenses and potential disruption to our day-to-day operations.","2026-03-16T01:22:52.071506Z","2026-02-24",0.9587,"Climate Change",1021,"Climate Change",26.576999999999998,"EOG_2026_RISK_044","Risks Related to Sustainability, Regulatory and Legal Matters","Risks Related to our Operations","EOG","2026-03-16T01:34:07.351235Z"
2017,"1",1484,"Risks Related to Environmental, Social and Governance Matters
Climate change may have a long-term impact on our business. While we seek to partner with organizations that mitigate their business risks associated with climate change, we recognize that there are inherent risks related to climate change wherever business is conducted. Access to clean water and reliable energy in the communities where we conduct our business, whether for our offices or for our vendors, is a priority. Our manufacturing sites in California, Arizona and Malaysia and our operations in the Philippines are vulnerable to climate change effects. For example, in California and Arizona, increasing intensity of droughts throughout the states and annual periods of wildfire danger increase the probability of planned and unplanned power outages in the communities where we work and live. While this danger has a low-assessed risk of disrupting normal business operations, it has the potential impact on employees’ abilities to commute to work or to work from home and stay connected effectively. Climate-related events, including the increasing frequency of extreme weather events and their impact on the U.S., the Philippines, Malaysia and other major regions’ critical infrastructure, have the potential to disrupt our business, our third-party suppliers, and/or the business of our customers, and may cause us to experience higher attrition, losses, and additional costs to maintain or resume operations.","2026-03-16T01:22:56.327675Z","2024-02-08",0.9845,"Climate Change",1022,"Climate Change",3.729,"DXCM_2024_RISK_199","Risks Related to Environmental, Social and Governance Matters","Risks Related to Our Debt","DXCM","2026-03-16T01:22:56.327686Z"
2018,"1",1940,"10 OXY 2024 FORM 10-K
value of corporate share repurchases, net of certain corporate share issuances and other adjustments, by certain corporations. In addition, the IRA provided significant policy support and incentives, including enhanced tax credits, for DAC, CCUS, hydrogen and other low-carbon projects, which may be subject to further administrative or congressional action. In January 2025, the Trump Administration issued an executive order that pauses the disbursement of funds appropriated under the IRA. Finally, the IRA expanded GHG emissions reporting requirements and imposed a new methane emissions charge on owners or operators of various U.S. oil and gas facilities, as described in a subsequent risk factor. For additional discussion of such matters, see Note 10 - Income Taxes in the Notes to Consolidated Financial Statements in Part II Item 8 of this Form 10-K.In 2021, the Infrastructure Investment and Jobs Act (IIJA) reinstated federal Superfund chemical excise taxes on various listed taxable chemicals that OxyChem manufactures, produces or imports, such as chlorine, sodium hydroxide and ethylene, subject to certain exceptions such as methane used for fuel and exported chemical products. These excise taxes could lead to higher costs and impact margins. The IIJA also authorized federal support, including grants, loans and loan guarantees, for low-carbon ventures and infrastructure, including grants for DAC and CCUS research, development and demonstration, carbon transport and storage infrastructure and permitting, carbon utilization and market development, and carbon removal. 1PointFive, LLC, a wholly owned subsidiary of Occidental (1PointFive), secured a grant from the DOE for the development of its South Texas DAC Hub, which may be subject to change as federal spending and programs are reviewed pursuant to executive orders issued by the Trump Administration and could adversely affect the project.","2026-03-16T01:23:00.720423Z","2025-02-18",0.9909,"Climate Change",1023,"Climate Change",3.884,"OXY_2025_RISK_007","10 OXY 2024 FORM 10-K","10 OXY 2024 FORM 10-K","OXY","2026-03-16T01:23:00.720434Z"
2019,"1",1935,"Risks Related to our Legal and Regulatory Environment
With regard to greenhouse gas emissions from our landfills, on July 14, 2016, the EPA issued amendments to its regulations that require large landfills that commenced construction, reconstruction or modification on or after July 17, 2014 to capture additional landfill gas to reduce emissions of methane and certain non-methane gases, which are recognized as greenhouse gases. In a separate action finalized that same day, the EPA issued updates to its 1996 Emission Guidelines to reduce emissions of landfill gas from existing active landfills. The EPA has taken further steps to implement these regulations. These regulations, or an amended version of them that eventually goes into effect, may require our landfills to deploy more stringent emission controls and monitoring systems, with resulting capital or operating costs. The application of these or other greenhouse gas regulations to our landfills could have a material adverse effect on our landfill operations and on our consolidated financial condition, results of operations and cash flows. We cannot predict what other actions or regulations the current administration may undertake that would affect our industry. In Canada, the federal Greenhouse Gas Pollution Pricing Act imposes a carbon pricing system for industry in provinces and territories that have not implemented carbon pricing systems of their own or, in the opinion of the federal government, have implemented carbon pricing systems that do not align with the federal benchmark requirements. This federal system imposes a carbon levy to the sale of fuel and sets out an output-based pricing system that applies to industrial emitters that meet certain criteria set out in the statute and its regulations, which creates a price incentive for industrial emitters to reduce greenhouse gas emissions by establishing a regulatory trading system for industry.","2026-03-16T01:23:04.832818Z","2025-02-14",0.9883,"Climate Change",1024,"Climate Change",3.609,"RSG_2025_RISK_035","Risks Related to our Legal and Regulatory Environment","Risks Related to Our Business and Operations","RSG","2026-03-16T01:23:04.832828Z"
2020,"1",350,"Regulatory, Tax, Litigation and Legal Compliance Risks
We are subject to many forms of environmental regulation and liability as well as risks associated with climate change and may incur substantial costs as a result. In addition, failure to achieve or demonstrate progress towards our climate goals may expose us to liability and reputational harm.","2026-03-16T01:28:04.526578Z","2024-02-29",0.977,"Climate Change",1025,"Climate Change",299.139,"UAL_2024_RISK_059","Regulatory, Tax, Litigation and Legal Compliance Risks","Human Capital Management Risks","UAL","2026-03-16T01:28:04.526598Z"
2021,"1",490,"MP has coal-fired generation capacity, which exposes it to risk from regulations relating to coal, GHGs and CCRs, which could lead to increased costs or the need to spend significant resources to defend allegations of violation. (Applies to FE)
Costs of compliance with environmental laws are significant, and the cost of compliance with new environmental laws, including limitations on GHG emissions related to climate change, could adversely affect our cash flows and financial condition.","2026-03-16T01:34:51.751824Z","2026-02-18",0.9818,"Climate Change",1026,"Climate Change",6.314,"FE_2026_RISK_072","MP has coal-fired generation capacity, which exposes it to risk from regulations relating to coal, GHGs and CCRs, which could lead to increased costs or the need to spend significant resources to defend allegations of violation. (Applies to FE)","Risks Associated with Climate Change, GHG Emissions and Other Environmental Matters","FE","2026-03-16T01:34:51.751834Z"
2022,"1",1484,"Risks Related to Environmental, Social and Governance Matters
Climate change may have a long-term impact on our business. While we seek to partner with organizations that mitigate their business risks associated with climate change, we recognize that there are inherent risks related to climate change wherever business is conducted. Access to clean water and reliable energy in the communities where we conduct our business, whether for our offices or for our vendors, is a priority. Our manufacturing sites in California, Arizona and Malaysia and our operations in the Philippines are vulnerable to climate change effects. For example, in California and Arizona, increasing intensity of droughts throughout the states and annual periods of wildfire danger increase the probability of planned and unplanned power outages in the communities where we work and live. While this danger has a low-assessed risk of disrupting normal business operations, it has the potential impact on employees’ abilities to commute to work or to work from home and stay connected effectively. Climate-related events, including the increasing frequency of extreme weather events and their impact on the U.S., the Philippines, Malaysia and other major regions’ critical infrastructure, have the potential to disrupt our business, our third-party suppliers, and/or the business of our customers, and may cause us to experience higher attrition, losses, and additional costs to maintain or resume operations.","2026-03-16T01:37:00.056836Z","2023-02-09",0.9845,"Climate Change",1027,"Climate Change",127.82,"DXCM_2023_RISK_204","Risks Related to Environmental, Social and Governance Matters","Risks Related to Our Debt","DXCM","2026-03-16T01:37:00.056846Z"
2023,"1",2276,"We are subject to physical, financial and transition risks related to climate change, including potentially increased legislative and regulatory burdens and changing customer preferences, and we may be subject to lawsuits, all of which could impact our businesses and results of operations.
Where recovery of costs to restore service and repair damaged equipment and facilities is available, any determination by the regulator not to permit timely and full recovery of the costs incurred could have a material adverse effect on our businesses, financial condition, results of operations and prospects. To the extent financial markets view climate change and GHG emissions as a financial risk, our ability to access capital markets could be negatively affected or cause us to receive less than ideal terms and conditions. Climate change-related political pressure and policy goals, including but not limited to those related to energy efficient targets, solar targets, encouragement of electrification through EV adoption, home heating, and the associated legislative and regulatory responses, may create financial risk as our operations may be subject to additional regulation at either the state or federal level in the future. Increased regulation of GHG emissions could impose significant additional costs on our electric and natural gas operations, and our suppliers. Developing and implementing plans for compliance with GHG emissions reduction, clean/renewable energy requirements, or for achieving voluntary climate commitments can lead to additional capital, personnel, and Operation and Maintenance (O&M) expenditures and could significantly affect the economic position of existing operations and proposed projects. If our regulators do not allow us to recover all or a part of the cost of capital investment or the O&M costs incurred to comply increasingly rigorous regulatory mandates, it could have a material adverse effect on our results of operations, financial condition or cash flows. On the other hand, in the event that the political, policy, regulatory or legislative support for clean energy projects declines, the benefits or feasibility of certain investments we may have made in such projects, including those in the development stage, may be reduced.","2026-03-16T01:37:07.018104Z","2022-02-24",0.9884,"Climate Change",1028,"Climate Change",6.458,"PEG_2022_RISK_004","We are subject to physical, financial and transition risks related to climate change, including potentially increased legislative and regulatory burdens and changing customer preferences, and we may be subject to lawsuits, all of which could impact our businesses and results of operations.","GENERAL OPERATIONAL AND FINANCIAL RISKS","PEG","2026-03-16T01:37:07.018116Z"
2024,"1",1923,"Risks Related to Legal and Regulatory Matters
Increasing stakeholder environmental, social and governance (ESG) expectations, physical and transition risks associated with climate change, emerging ESG regulation, contractual requirements, and policy requirements may pose risk to our market outlook, brand and reputation, financial outlook, cost of capital, global supply chain and production continuity, which may impact our ability to achieve long-term business objectives. Changes in environmental and climate change laws or regulations could lead to additional operational restrictions and compliance requirements upon us or our products, require new or additional investment in product designs, result in carbon offset investments or otherwise could negatively impact our business and/or competitive position. Increasing aircraft performance standards, increasing sustainability disclosure requirements in the U.S. and globally, and requirements on manufacturing and product air pollutant emissions, especially greenhouse gas (GHG) emissions, may result in increased costs or reputational risks and could limit our ability to manufacture and/or market certain of our products at acceptable costs, or at all. Physical impacts of climate change, increasing global chemical restrictions and bans, and water and waste requirements may drive increased costs to us and our suppliers and impact our production continuity and data facilities. Finally, from time to time, in alignment with our sustainability priorities, we establish and publicly announce goals and commitments to improve our environmental performance, such as our recent operational goals in areas of GHG emissions, energy, water and waste. If we fail to achieve or improperly report on our progress toward achieving our sustainability goals and commitments, the resulting negative publicity could adversely affect our reputation and/or our access to capital.","2026-03-16T01:37:17.243443Z","2023-01-27",0.9867,"Climate Change",1029,"Climate Change",9.725,"BA_2023_RISK_039","Risks Related to Legal and Regulatory Matters","Risks Related to Our Contracts","BA","2026-03-16T01:37:17.243462Z"
