review_rank,original_label,api_consensus_label,codex_suggested_label,dispute_reason,reviewed_label,reviewer_note,annotation_id,annotator,char_count,combined_text,created_at,filing_date,finbert_confidence,finbert_label,id,label,lead_time,paragraph_id,risk_heading,risk_section,ticker,updated_at
11,Product Liability,Community Relations,Community Relations,低收入病患的保險負擔、慈善補助與醫療可近性符合社區關係。,,,2301,1,2434,"If the number or percentage of patients with higher-paying commercial insurance declines, if the average rates that commercial payors pay us decline, if patients in commercial plans are subject to restriction in plan designs, if we are unable to maintain contracts with payors with competitive terms, including, without limitation, reimbursement rates, scope and duration of coverage and in-network benefits, it could have a material adverse effect on our business, results of operations, financial condition and cash flows.
If the Court declines to uphold the protections of the MSPA such that more plans seek to implement plan designs that discourage patients from retaining their commercial coverage, it may lead to a significant decrease in the number of patients with commercial plans, the duration of benefits for patients under commercial plans and/or a significant decrease in the payment rates we receive, any of which would have a material adverse effect on our business, results of operations, financial condition and cash flows. In addition, some commercial payors are pursuing or have incorporated policies into their provider manuals limiting or refusing to accept charitable premium assistance from non-profit organizations, such as the American Kidney Fund, which may impact the number of patients who are able to afford commercial plans. Paying for coverage is a significant financial burden for many patients, and ESRD disproportionately affects the low-income population. Charitable premium assistance supports continuity of coverage and access to care for patients, many of whom are unable to continue working full-time as a result of their severe health condition. Many patients with commercial and government insurance also rely on financial assistance from charitable organizations, such as the American Kidney Fund. Certain payors have challenged our patients' and other providers' patients' ability to utilize assistance from charitable organizations for the payment of premiums, including, without limitation, through litigation and other legal proceedings. The use of charitable premium assistance for ESRD patients has also faced challenges and inquiries from legislators, regulators and other governmental authorities, and this may continue. In addition, CMS or another regulatory agency or legislative authority may issue a new rule or guidance that challenges or restricts charitable premium assistance.",2026-03-16T06:16:22.495274Z,2022-02-11,0.9013,Community Relations,1306,Product Liability,39.691,DVA_2022_RISK_030,"If the number or percentage of patients with higher-paying commercial insurance declines, if the average rates that commercial payors pay us decline, if patients in commercial plans are subject to restriction in plan designs, if we are unable to maintain contracts with payors with competitive terms, including, without limitation, reimbursement rates, scope and duration of coverage and in-network benefits, it could have a material adverse effect on our business, results of operations, financial condition and cash flows.",General Risks,DVA,2026-03-16T06:16:22.495285Z
12,Community Relations,Non-ESG,Non-ESG,主體是產品研發，捐款與非營利合作僅為附帶內容。,,,2325,1,1842,"Research and Development
We are committed to investing in world-class digital technology development, which we believe is critical to achieving our goal of establishing the Invisalign system as the standard method for treating malocclusion, our intraoral scanners as the preferred scanning technology for digital dental scans, and our exocad CAD/CAM software as the solution of choice for dental labs. Our research and development activities are directed toward developing digital technology innovations that we believe will deliver our next generation of products and solutions to enable the Align digital platform. These activities range from accelerating product and clinical innovation to developing manufacturing process improvements to researching future technologies, products and software. In an effort to demonstrate the broad treatment capabilities of the Invisalign system, various clinical case studies and articles have been published that highlight the clinical applicability of Invisalign treatment to malocclusion cases, including those of severe complexity. Similarly, various studies have also been published demonstrating the capabilities of our scanners, including advanced features such as our NIRI technology. We undertake pre-commercialization trials and testing of our technological improvements to our products and manufacturing process. We furthermore fund research in the field of orthodontics and dentistry through initiatives such as our Annual Research Award Program, which was in its 12th year in 2021, our donations to the American Association of Orthodontists Foundation and our partnership with MedTech Innovator Asia Pacific, a nonprofit startup accelerator for the medical technology industry that connects healthcare industry leaders with innovative medical technology startups for mentorship and support.",2026-03-16T06:20:41.419215Z,2022-02-25,0.448,Community Relations,1330,Community Relations,7.531,ALGN_2022_RISK_002,Research and Development,Research and Development,ALGN,2026-03-16T06:20:41.419225Z
13,Non-ESG,Corporate Governance,Corporate Governance,控制權取得、表決權與反收購條款直接屬公司治理。,,,2358,1,1803,"Risks Relating to Limitations on Dividends from Subsidiaries and Anti-Takeover Provisions
Generally, United States insurance holding company laws require that, before a person can acquire control of an insurance company, prior written approval must be obtained from the insurance regulatory authorities in the state in which that insurance company is domiciled. Pursuant to applicable laws and regulations, “control” over an insurer is generally presumed to exist if any person, directly or indirectly, owns, controls, holds the power to vote, or holds proxies representing 10% or more of the voting securities of that insurer or any parent company of such insurer. Indirect ownership includes ownership of the shares of our common stock. Thus, the insurance regulatory authorities of the states in which our insurance subsidiaries are domiciled are likely to apply these restrictions on acquisition of control to any proposed acquisition of our common stock. Some states require a person seeking to acquire control of an insurer licensed but not domiciled in that state to make a filing prior to completing an acquisition if the acquirer and its affiliates, on the one hand, and the target insurer and its affiliates, on the other hand, have specified market shares in the same lines of insurance in that state. Additionally, many foreign jurisdictions where we conduct business impose similar restrictions and requirements. These provisions can also lead to the imposition of conditions on an acquisition that could delay or prevent its consummation. These laws may discourage potential acquisition proposals and may delay, deter or prevent a change in control of us through transactions, and in particular unsolicited transactions, that some or all of our stockholders might consider to be desirable.",2026-03-16T06:41:17.252460Z,2022-02-24,0.982,Corporate Governance,1363,Non-ESG,44.771,WRB_2022_RISK_061,Risks Relating to Limitations on Dividends from Subsidiaries and Anti-Takeover Provisions,Risks Relating to Our Investments,WRB,2026-03-16T06:41:17.252477Z
14,Non-ESG,Corporate Governance,Corporate Governance,股東訴訟、受託責任與專屬法院條款屬公司治理。,,,2359,1,2205,"Our amended and restated certificate of incorporation designates the Court of Chancery of the State of Delaware as the exclusive forum for certain disputes between us and our stockholders, which could limit our stockholders’ ability to choose the judicial forum for disputes with us or our directors, officers, or employees.
Our amended and restated certificate of incorporation provides that, unless we consent in writing to the selection of an alternative forum, the sole and exclusive forum for (i) any derivative action or proceeding brought on our behalf, (ii) any action or proceeding asserting a claim of breach of a fiduciary duty owed by any of our directors, officers, or other employees to us or our stockholders, (iii) any action or proceeding asserting a claim arising pursuant to any provision of the Delaware General Corporation Law, our amended and restated certificate of incorporation, or our amended and restated bylaws, or (iv) any action or proceeding asserting a claim that is governed by the internal affairs doctrine, shall be the Court of Chancery of the State of Delaware. This provision does not apply to suits brought to enforce a duty or liability created by the Exchange Act, for which the U.S. federal courts have exclusive jurisdiction, or the Securities Act. Any person or entity purchasing or otherwise acquiring or holding or owning (or continuing to hold or own) any interest in any of our securities shall be deemed to have notice of and consented to the foregoing provisions. Although we believe this exclusive forum provision benefits us by providing increased consistency in the application of Delaware law in the types of lawsuits to which it applies, the exclusive forum provision may (i) increase the costs for a stockholder, and/or (ii) limit a stockholder’s ability to bring a claim in a judicial forum of its choosing for disputes with us or any of our directors, officers, other employees, stockholders, or others which may discourage lawsuits with respect to such claims. Our stockholders will not be deemed to have waived our compliance with the federal securities laws and the rules and regulations thereunder as a result of our exclusive forum provision.",2026-03-16T06:41:37.208181Z,2025-09-26,0.9835,Corporate Governance,1364,Non-ESG,19.397,CPRT_2025_RISK_045,"Our amended and restated certificate of incorporation designates the Court of Chancery of the State of Delaware as the exclusive forum for certain disputes between us and our stockholders, which could limit our stockholders’ ability to choose the judicial forum for disputes with us or our directors, officers, or employees.",Risks Related to Our Business and Industry,CPRT,2026-03-16T06:41:37.208190Z
15,Corporate Governance,Product Liability,Product Liability,主要描述資安事件應變、隱私訓練與第三方資安風險。,,,2376,1,1896,"Risk Management and Strategy
Under the leadership of our CDIO and CISO, and with oversight, as appropriate, from the Board’s Audit Committee, we have developed a Cybersecurity Incident Response Process (the “Response Process”), which sets forth a framework for the actions to be taken in response to a cybersecurity incident and includes appropriate escalations to the Company’s senior management, including our ECCRT (as defined below), and the Board. Under the guidance of our CISO, the Response Process is routinely evaluated, tested and updated as appropriate. In addition to our Response Process, which is employed in the event of a cybersecurity incident, we take preventative measures that are designed to mitigate the likelihood and prevalence of cybersecurity incidents. For example, we believe that enterprise-wide cybersecurity and privacy training serve an important role in risk reduction. Accordingly, we require employees to complete periodic access-based and role-based privacy and cybersecurity training. These trainings are routinely updated to reflect changes in the threat environment, assessment, and/or audit findings, laws, and regulations. We also engage and educate employees through cybersecurity and privacy awareness programs and communication campaigns. We recognize that our cybersecurity risk profile extends beyond our organization. As such, we strive to manage cybersecurity risks associated with our third-party business partners and external users of our systems. Our third-party business partner risk management program is built upon, informed by, and responsive to industry best practices. This program is designed to conduct appropriate due diligence on the third-party business partners with whom we engage and conduct business, as well as on the systems and the cybersecurity controls of such third-party business partners. Specifically, to evaluate third-",2026-03-16T06:43:45.101075Z,2025-11-25,0.8959,Corporate Governance,1381,Corporate Governance,9.701,COR_2025_RISK_086,Risk Management and Strategy,Risk Management and Strategy,COR,2026-03-16T06:43:45.101091Z
16,Corporate Governance,Product Liability,Product Liability,資安框架、資料保護與防外洩控制是主要內容。,,,2377,1,846,"Cybersecurity
We have a longstanding information security risk management framework structured according to the National Institute of Standards and Technology Cybersecurity Framework, industry best practices, privacy legislation, and other global and local standards and regulations. This risk management framework is under the specific oversight of the Company’s Vice President and Chief Information Officer (the “CIO”) and includes a defense-in-depth approach with multiple layers of security controls, including network segmentation, security monitoring, endpoint protection, and identity and access management, as well as data protection best practices and data loss prevention controls. Our Audit and Finance Committee is updated on the overall performance of our information security risk management framework on an annual basis by the CIO.",2026-03-16T06:43:57.956220Z,2025-02-25,0.8213,Corporate Governance,1382,Corporate Governance,12.321,WAT_2025_RISK_038,Cybersecurity,Cybersecurity,WAT,2026-03-16T06:43:57.956231Z
17,Corporate Governance,Product Liability,Product Liability,核心是資安事件識別、分級與應變流程。,,,2384,1,964,"Cybersecurity Strategy and Risk Management
When a cybersecurity threat or incident is identified, our policy is to review and triage the threat or incident, and to then manage it to conclusion in accordance with our cybersecurity incident response processes.  When a cybersecurity incident is determined to be significant, it is addressed by management committees using processes that leverage subject-matter expertise from across the Company.  Further, we have in the past and may in the future engage with third-party advisors and government and law enforcement agencies as part of our incident management processes.  All cybersecurity incidents that are identified as reasonably having the potential to be highly significant to the Company are brought to the attention of both the Chief Enterprise Technology Officer and Chief Policy Officer and General Counsel by the Chief Information Security Officer as part of our cybersecurity incident response processes.",2026-03-16T06:45:07.958791Z,2025-02-06,0.9198,Corporate Governance,1389,Corporate Governance,6.79,F_2025_RISK_059,Cybersecurity Strategy and Risk Management,Legal and Regulatory Risks,F,2026-03-16T06:45:07.958804Z
18,Non-ESG,Product Liability,Product Liability,事件後的資安復原及計畫改善屬資料安全管理。,,,2399,1,231,"Containment, Eradication, Recovery, and Reporting
Following the conclusion of an incident, the incident response team will generally assess the effectiveness of the cybersecurity program and IRP and make adjustments as appropriate.",2026-03-16T06:50:37.782856Z,2026-02-12,0.474,Corporate Governance,1404,Non-ESG,145.211,PSA_2026_RISK_053,"Containment, Eradication, Recovery, and Reporting",Detection and Analysis,PSA,2026-03-16T06:50:37.782877Z
19,Corporate Governance,Non-ESG,Non-ESG,核心是地緣政治、資產出售與投資價值，董事辭任只是事件背景。,,,2400,1,1720,"Operational Risks
For example, in light of the conflict between Russia and Ukraine, members of our management team resigned from the board of our Yandex. Taxi joint venture, and we announced that we are actively looking for opportunities to accelerate the sale of our remaining holdings in the joint venture. The broader consequences of this conflict, which may include additional international sanctions, embargoes, regional instability, and geopolitical shifts, increased tensions between the United States and countries in which we operate, and the extent of the conflict’s effect on the global economy, cannot be predicted. Any of these risks could materially affect the value of our assets, which could have an adverse effect on our business, financial condition, operating results, or the trading price of our common stock. Further, we are contractually limited in our ability to sell or transfer these assets. For example, in connection with Aurora’s November 2021 initial public offering, we are subject to a 4-year lock-up with respect to our shares in Aurora. Furthermore, we may be required to sell these assets at a time at which we would not be able to realize what we believe to be the long-term value of these assets. For example, if we were deemed an investment company under the Investment Company Act of 1940, as amended (the “Investment Company Act”), we may be required to sell some or all of such assets so that we would not be subject to the requirements of the Investment Company Act. Additionally, we may have to pay significant taxes upon the sale or transfer of these assets. Accordingly, we may never realize the value of these assets relative to the contributions we made to these businesses.",2026-03-16T06:51:26.103038Z,2023-02-21,0.5552,Corporate Governance,1405,Corporate Governance,47.776,UBER_2023_RISK_052,Operational Risks,Operational Risks,UBER,2026-03-16T06:51:26.103054Z
20,Non-ESG,Business Ethics & Values,Business Ethics & Values,明確聚焦員工、代理商與合作方的不當行為。,,,2431,1,280,"Legal and Regulatory Risks
▪The improper conduct of employees, agents, subcontractors, suppliers, business partners or joint ventures in which we participate can impact our reputation, our ability to do business and our financial position, results of operations and/or cash flows.",2026-03-16T06:58:15.383159Z,2022-01-27,0.9254,Business Ethics & Values,1436,Non-ESG,10.993,NOC_2022_RISK_017,Legal and Regulatory Risks,Legal and Regulatory Risks,NOC,2026-03-16T06:58:43.194327Z
21,Business Ethics & Values,Community Relations,Community Relations,社區投資、公平放貸及弱勢金融可近性較符合社區關係，但亦接近消費者金融保護。,,,2475,1,1390,"Legal, Regulatory and Compliance Risks
The CRA, the Equal Credit Opportunity Act, the Fair Housing Act, and other fair lending laws and regulations (collectively, fair lending laws) impose community investment and nondiscriminatory lending requirements on financial institutions. The CFPB, the DOJ and other federal and state agencies are responsible for enforcing these federal laws and regulations and comparable state provisions. Due to legal challenges, the federal banking agencies are enjoined from enforcing and are reconsidering the 2023 CRA regulations; the federal banking agencies are continuing to apply the 1995 CRA regulations. Federal, state or local consumer lending laws may restrict our ability to originate certain mortgage loans or increase our risk of liability with respect to such loans. A successful regulatory challenge to an institution's performance under the fair lending laws could result in a wide variety of sanctions, including damages and civil money penalties, injunctive relief, restrictions on mergers and acquisitions, restrictions on expansion, and restrictions on entering new business lines. Private parties may also have the ability to challenge an institution's performance under fair lending laws in private class action litigation. Such actions could have a material adverse effect on our business, financial condition, and results of operations.",2026-03-16T07:23:28.686960Z,2026-02-24,0.3726,Business Ethics & Values,1480,Business Ethics & Values,11.981,RF_2026_RISK_084,"Legal, Regulatory and Compliance Risks","Legal, Regulatory and Compliance Risks",RF,2026-03-16T07:23:28.686981Z
