review_rank,original_label,api_consensus_label,codex_suggested_label,dispute_reason,reviewed_label,reviewer_note,annotation_id,annotator,char_count,combined_text,created_at,filing_date,finbert_confidence,finbert_label,id,label,lead_time,paragraph_id,risk_heading,risk_section,split,ticker,updated_at
11,Non-ESG,Product Liability,Product Liability,臨床試驗管理與產品核准屬產品品質／安全邊界。,,,1698,1,337,"Risks Related to Development, Clinical Testing and Regulation of Our Products and Product Candidates
Clinical trials and the development of biopharmaceutical products is a lengthy and complex process. If we fail to adequately manage our clinical activities, our clinical trials or potential regulatory approvals may be delayed or denied.",2026-03-13T05:40:06.727406Z,2022-02-03,0.9805,Non-ESG,203,Non-ESG,4.934,BIIB_2022_RISK_101,"Risks Related to Development, Clinical Testing and Regulation of Our Products and Product Candidates",Risks Related to Intellectual Property,,BIIB,2026-03-13T05:40:06.727414Z
12,Product Liability,Non-ESG,Non-ESG,主要是研發策略與合作模式，未聚焦產品安全或責任。,,,1705,1,1973,"RESEARCH AND DEVELOPMENT
R&D is at the heart of fulfilling our purpose to deliver breakthroughs that change patients’ lives as we work to translate advanced science and technologies into the therapies that may be the most impactful for patients. The discovery and development of drugs, vaccines and biological products are time consuming, costly and unpredictable. In addition to discovering and developing new products, our R&D efforts seek to add value to our existing products by improving their effectiveness and ease of dosing and by discovering potential new indications. Our R&D Priorities and Strategy. Our R&D priorities include:•delivering a pipeline of highly differentiated medicines and vaccines where we have a unique opportunity to bring the most important new therapies to patients in need;•advancing our capabilities that can position us for long-term R&D leadership; and•advancing new models for partnerships with creativity, flexibility and urgency to deliver innovation to patients as quickly as possible. To that end, our R&D primarily focuses on our main therapeutic areas. While a significant portion of our R&D is internal, we also seek promising chemical and biological lead molecules and innovative technologies developed by others to incorporate into our discovery and development processes or projects, as well as our product lines. We do so by entering into collaboration, alliance and license agreements with universities, biotechnology companies and other firms as well as through acquisitions and investments. These collaboration, alliance and license agreements and investments allow us to share knowledge, risk and cost. They also enable us to access external scientific and technological expertise, as well as provide us the opportunity to advance our own products and in-licensed or acquired products. For information on certain of these collaborations, alliances and license arrangements and investments, see Note 2. Our R&D Operations.",2026-03-13T05:41:54.771788Z,2022-02-24,0.475,Non-ESG,210,Product Liability,16.757,PFE_2022_RISK_008,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,,PFE,2026-03-13T05:41:54.771800Z
13,Business Ethics & Values,Non-ESG,Non-ESG,廣泛法規變動與營運成本，缺乏明確倫理行為。,,,1712,1,678,"Regulatory, Legislative and Legal
The Company is subject to the jurisdiction of various regulatory agencies, including the STB, FRA, PHMSA, TSA, EPA and other state, provincial and federal regulatory agencies for a variety of economic, health, safety, labor, environmental, tax, legal and other matters. New or modified rules or regulations by these agencies could increase the Company's operating costs, adversely impact revenue or reduce operating efficiencies and affect service performance. Noncompliance with applicable laws or regulations could erode public confidence in the Company and can subject the Company to fines, penalties and other legal or regulatory sanctions.",2026-03-13T05:43:58.680951Z,2022-02-16,0.7593,Business Ethics & Values,217,Business Ethics & Values,5.677,CSX_2022_RISK_004,"Regulatory, Legislative and Legal","Regulatory, Legislative and Legal",,CSX,2026-03-13T05:43:58.680961Z
14,Climate Change,Non-ESG,Non-ESG,低碳燃料只占廣泛農業與貿易政策的一部分，主題是否以氣候為主有疑義。,,,1717,1,2037,"Legal Regulations and Compliance Risks
Agricultural production and trade flows are subject to government policies, mandates, regulations, and trade agreements, including taxes, tariffs, duties, subsidies, incentives, foreign exchange rates, and import and export restrictions, including policies related to genetically modified organisms, traceability standards, sustainable practices, product safety and labeling, renewable fuels, and low carbon fuel mandates. These policies can influence the planting of certain crops; the location and size of crop production; whether unprocessed or processed commodity products are traded; the volume and types of imports and exports; the availability and competitiveness of feedstocks as raw materials; the viability and volume of production of certain of the Company’s products; and industry profitability. For example, changes in government policies or regulations of ethanol and biodiesel including, but not limited to, changes in the Renewable Fuel Standard program under the Energy Independence and Security Act of 2007 in the United States, including the treatment of small refinery exemptions, can have an impact on the Company’s operating results. International trade regulations can adversely affect agricultural commodity trade flows by limiting or disrupting trade between countries or regions. Regulations of financial markets and instruments, including the Dodd-Frank Act, Consumer Protection Act, and the European Market Infrastructure Regulation, create uncertainty and may lead to additional risks and costs, and could adversely affect the Company’s futures commission merchant business and its agricultural commodity risk management practices. Future government policies may adversely affect the supply of, demand for, and prices of the Company’s products; adversely affect the Company’s ability to deploy adequate hedging programs; restrict the Company’s ability to do business in its existing and target markets; and adversely affect the Company’s revenues and operating results.",2026-03-13T05:44:43.863889Z,2022-02-17,0.752,Climate Change,222,Climate Change,11.15,ADM_2022_RISK_015,Legal Regulations and Compliance Risks,Legal Regulations and Compliance Risks,,ADM,2026-03-13T05:44:43.863899Z
15,Non-ESG,Business Ethics & Values,Non-ESG,稅務估計與稅務稽核通常屬一般財稅風險。,,,1723,1,1948,"Legal and Regulatory Risks
Changes to these and other areas in relation to international tax reform, including future actions taken by foreign governments in response to the Tax Act, could increase uncertainty and may adversely affect our tax rate and cash flow in future years. Our income and non-income tax filings are subject to review or audit by the Internal Revenue Service and state, local and foreign taxing authorities. We exercise significant judgment in determining our worldwide provision for income taxes and, in the ordinary course of our business, there may be transactions and calculations where the ultimate tax determination is uncertain. We may also be liable for potential tax liabilities of businesses we acquire, including future taxes payable related to the transition tax on earnings from their foreign operations, if any, under the Tax Act. Although we believe our tax estimates are reasonable, the final determination in an audit may be materially different than the treatment reflected in our historical income tax provisions and accruals. An assessment of additional taxes because of an audit could adversely affect our income tax provision and net income in the periods for which that determination is made. In July 2017, the Hungarian Tax Authority (HTA) issued a final assessment against our Hungarian subsidiary (Synopsys Hungary) for fiscal years 2011 through 2013. The HTA has applied withholding taxes on certain payments made to affiliates, resulting in an aggregate tax assessment of approximately $25.0 million and interest and penalties of $11.0 million. We paid the tax assessments, penalties and interest in the first quarter of fiscal 2018 as required by law and recorded these amounts as prepaid taxes on our balance sheet. On April 30, 2019, the Hungarian Administrative Court (the Administrative Court) ruled against Synopsys Hungary. We filed an appeal with the Hungarian Supreme Court on July 5, 2019.",2026-03-13T05:46:24.644592Z,2021-12-13,0.929,Non-ESG,228,Non-ESG,15.588,SNPS_2021_RISK_054,Legal and Regulatory Risks,Legal and Regulatory Risks,,SNPS,2026-03-13T05:46:24.644606Z
16,Community Relations,Product Liability,Product Liability,健康服務責任、客戶隱私與資訊安全均指向產品責任。,,,1726,1,1753,"The COVID-19 pandemic has subjected our business, operations and financial condition to a number of risks, and those risks may intensify or last for an extended period of time.
This expanded risk increases the complexity of our business and places significant responsibility on our management, employees, operations, systems, technical expertise, financial resources, and internal financial and regulatory control and reporting functions. In addition, new initiatives we test through trials and pilots may not scale or grow effectively or as we expected, which could limit our growth and negatively affect our operating results. They may also involve significant laws or regulations that are beyond our current expertise. In fiscal 2021 we continued to invest in our health strategy and our underlying purpose to enrich lives through technology. The new health-related services offered might expose us to liability risk resulting from failures in the fulfillment of these services. In addition, the services and systems used could expose us to customer data privacy and information security risks, as well as business or system interruption risks. These and other related issues could have a material adverse impact on our financial results. Our focus on services as a strategic priority exposes us to certain risks that could have a material adverse impact on our revenue and profitability as well as our reputation. We offer a full range of services that complement our product offerings, including consultation, delivery, design, installation, memberships, protection plans, repair, set-up, technical support, and health, safety and caregiving monitoring and support. Designing, marketing and executing these services is subject to incremental risks.",2026-03-13T05:48:15.931963Z,2021-03-19,0.8457,Product Liability,231,Community Relations,73.38,BBY_2021_RISK_011,"The COVID-19 pandemic has subjected our business, operations and financial condition to a number of risks, and those risks may intensify or last for an extended period of time.",External Risks,,BBY,2026-03-13T05:48:15.931972Z
17,Corporate Governance,Non-ESG,Non-ESG,併購整合與綜效實現是一般策略與營運風險。,,,1741,1,1004,"RISKS RELATED TO OUR BUSINESS
Our growth strategy includes the pursuit of targeted inorganic growth opportunities that we believe will provide a strategic fit, leverage operational synergies, and lead to incremental earnings accretion. For example, in September 2023 we closed on our acquisition of My Choice Wisconsin and in January 2024 we closed on the acquisition of Bright Health Medicare. The integration of acquired businesses with our existing business is a complex, costly and time-consuming process. The success of acquisitions we make will depend, in part, on our ability to successfully combine our existing business with such acquired businesses and realize the anticipated benefits, including synergies, cost savings, growth in earnings, innovation, and operational efficiencies, from the combinations. If we are unable to achieve these objectives within the anticipated time frame, or at all, the anticipated benefits may not be fully realized, or may take longer to realize than expected.",2026-03-13T06:00:26.884293Z,2024-02-13,0.9702,Non-ESG,246,Corporate Governance,71.03,MOH_2024_RISK_012,RISKS RELATED TO OUR BUSINESS,RISKS RELATED TO OUR BUSINESS,,MOH,2026-03-13T06:00:26.884303Z
18,Non-ESG,Natural Capital,Non-ESG,原料供應雖涉及天然資源，但主要描述一般第三方供應鏈依賴。,,,1751,1,2133,"Supply chain disruptions, geopolitical developments or climate-change events may adversely affect our suppliers or our procurement of raw materials, and thus may impact our business and financial results.
In connection with our manufacturing of our products, we often rely on third party suppliers for raw materials. We use many different raw materials for our business, such as essential oils, extracts and concentrates derived from fruits, vegetables, flowers, woods and other botanicals, animal products, raw fruits, organic chemicals and petroleum-based chemicals, as well as, gelatin, glycols, cellulose processed grains, guar, locust bean gum, organic vegetable oils, peels, saccharides, seaweed, soybeans, and sugars and yeasts. Supply chain disruptions, such as the ones related to the COVID-19 pandemic, may impair or delay our ability to obtain sufficient quantities of certain raw materials through our ordinary supply channels and cause us to incur higher costs by procuring raw materials from other sources in order to compensate for such delays or lack of availability. In addition, our suppliers, similar to us, are subject to risks, inherent in agriculture, manufacturing and distribution on a global scale, including industrial accidents, environmental events, climate change, strikes and other labor disputes, disruptions in supply chain or information systems, disruption or loss of key research or manufacturing sites, product quality control, safety and environmental compliance issues, licensing requirements and other regulatory issues, as well as natural disasters, global or local health crisis, international conflicts, terrorist acts, geopolitical developments, trade wars, and other external factors over which neither they nor we have control. These suppliers also could become insolvent or experience other financial distress. For example, in 2017, a fire at the manufacturing facility of BASF Group (“BASF”), one of our suppliers, caused them to declare a force majeure event which resulted in industry disruption due to the lack of availability of certain ingredients used in many fragrance compounds.",2026-03-13T06:05:11.201890Z,2022-02-28,0.4464,Product Liability,256,Non-ESG,28.005,IFF_2022_RISK_006,"Supply chain disruptions, geopolitical developments or climate-change events may adversely affect our suppliers or our procurement of raw materials, and thus may impact our business and financial results.",Risks Related to Our Business and Industry,,IFF,2026-03-13T06:05:11.201901Z
19,Non-ESG,Product Liability,Product Liability,健康認知與人口變化符合健康及人口風險。,,,1758,1,2000,"RISKS RELATED TO OUR OPERATIONS
Consumers’ preferences continually evolve due to a variety of factors, including changing demographics of the population, social trends, changes in consumer lifestyles and consumption patterns, concerns or perceptions regarding the health effects of products, concerns regarding the location of origin or source of ingredients and products, changes in consumers' spending habits, negative publicity, economic downturn or other factors. For example, consumers are increasingly concerned about health and wellness, focusing on the caloric intake associated with regular CSDs, the use of artificial sweeteners in diet CSDs, and the use of natural, organic or simple ingredients in beverages. The demand for CSDs has therefore decreased as consumers have shifted towards NCBs, such as water, ready-to-drink coffee and teas, and sports drinks. If we do not effectively anticipate and respond to these changing trends and consumer beverage preferences, our sales and growth could suffer. Consumers are also increasingly focused on sustainability, with particular attention to the recyclability of product packaging, reducing consumption of single-use plastics and non-recyclable materials, and the environmental impact of manufacturing operations. If we do not meet consumer demands by continuing to provide recyclable packaging options and focusing on sustainability throughout our manufacturing operations, our sales could suffer. In addition, consumer shopping behavior is rapidly evolving due to both changes in travel, vacation and leisure activity patterns and the acceleration of e-commerce and other methods of purchasing products. If we are unable to meet the consumer where and when they desire their products or if we are unable to respond to changes in distribution channels (including e-commerce), our financial results could be adversely impacted. If we do not innovate rapidly and successfully to respond to shifting consumer demands, our business may suffer.",2026-03-13T06:18:08.927768Z,2022-02-24,0.7387,Product Liability,263,Non-ESG,68.383,KDP_2022_RISK_013,RISKS RELATED TO OUR OPERATIONS,RISKS RELATED TO OUR OPERATIONS,,KDP,2026-03-13T06:18:08.927777Z
20,Corporate Governance,Non-ESG,Non-ESG,債券控制權變更條款主要是融資與負債風險。,,,1765,1,619,"RISKS RELATED TO OUR INDEBTEDNESS
Upon the occurrence of a “change of control,” as defined in our indentures, we will be required to offer to repurchase all of our outstanding senior notes. However, it is possible that we will not have sufficient funds at the time of a change of control to make the required repurchase of any outstanding notes or that restrictions in our Credit Agreement will not allow such repurchases. Certain important corporate events, however, such as leveraged recapitalizations that would increase the level of our indebtedness, would not constitute a “change of control” under our indentures.",2026-03-13T06:23:30.469239Z,2022-02-24,0.6011,Non-ESG,270,Corporate Governance,24.057,IRM_2022_RISK_055,RISKS RELATED TO OUR INDEBTEDNESS,RISKS RELATED TO OUR INDEBTEDNESS,,IRM,2026-03-13T06:23:30.469249Z
21,Corporate Governance,Non-ESG,Non-ESG,只有投資普通股的稅務建議，治理內容不足。,,,1778,1,205,"Risks Related to Our Business
We urge our stockholders to consult with their legal and tax advisors with respect to any such legislation and the potential tax consequences of investing in our common stock.",2026-03-13T06:33:51.776871Z,2022-02-25,0.9539,Corporate Governance,283,Corporate Governance,5.789,IR_2022_RISK_046,Risks Related to Our Business,Risks Related to Our Business,,IR,2026-03-13T06:33:51.776880Z
22,Business Ethics & Values,Product Liability,Product Liability,FDA 核准、召回與產品扣押直接涉及產品安全及品質。,,,1781,1,455,"Our operations depend on compliance with complex FDA and comparable international regulations. Failure to obtain broad approvals on a timely basis or to maintain compliance could delay or halt commercialization of our products.
Failure to comply with these or other requirements imposed by FDA could result in significant civil monetary penalties, fines, suspensions of regulatory approvals, product recalls, seizure of products and criminal prosecutions.",2026-03-13T06:34:28.068010Z,2022-02-23,0.4858,Non-ESG,286,Business Ethics & Values,16.944,GILD_2022_RISK_023,Our operations depend on compliance with complex FDA and comparable international regulations. Failure to obtain broad approvals on a timely basis or to maintain compliance could delay or halt commercialization of our products.,Regulatory and Other Legal Risks,,GILD,2026-03-13T06:34:28.068018Z
23,Non-ESG,Business Ethics & Values,Non-ESG,移轉訂價與稅務爭議屬一般稅務風險。,,,1783,1,746,"We are subject to the risk of increased taxes.
Several jurisdictions in which we operate have tax laws with detailed transfer pricing rules that require that all transactions with non-resident related parties be priced using arm’s length pricing principles, and that contemporaneous documentation must exist to support such pricing. There is a risk that the taxing authorities may not deem our transfer pricing documentation acceptable. In addition, the Organization for Economic Cooperation and Development continues to issue guidelines and proposals related to Base Erosion and Profit Shifting which may result in legislative changes that could reshape international tax rules in numerous countries and negatively impact our effective tax rate.",2026-03-13T06:41:26.897251Z,2021-10-22,0.8583,Non-ESG,288,Non-ESG,396.936,JBL_2021_RISK_044,We are subject to the risk of increased taxes.,Financial Risks,,JBL,2026-03-13T06:41:26.897271Z
24,Non-ESG,Business Ethics & Values,Non-ESG,一般訴訟與政府調查，未清楚指出倫理不當行為。,,,1804,1,2015,"Regulatory, Tax, Litigation and Legal Compliance Risks
From time to time, we are subject to litigation and other legal and regulatory proceedings relating to our business or investigations or other actions by governmental agencies, including as described in Part I, Item 3. Legal Proceedings, of this report. In addition, the Company is subject to an increased risk of litigation and other proceedings as a result of the COVID-19 pandemic and responsive measures. For example, the Company is involved in litigation relating to its vaccination requirements for employees. No assurances can be given that the results of these or new matters will be favorable to us. An adverse resolution of lawsuits, arbitrations, investigations or other proceedings or actions could have a material adverse effect on our financial condition and operating results, including as a result of non-monetary remedies, and could also result in adverse publicity. Defending ourselves in these matters may be time-consuming, expensive and disruptive to normal business operations and may result in significant expense and a diversion of management's time and attention from the operation of our business, which could impede our ability to achieve our business objectives. Additionally, any amount that we may be required to pay to satisfy a judgment, settlement, fine or penalty may not be covered by insurance. If we fail to comply with the terms contained in any settlement, order or agreement with a governmental authority relating to these matters, we could be subject to criminal or civil penalties, which could have a material adverse impact on the Company. Under our charter and certain indemnification agreements that we have entered into (and may in the future enter into) with our officers, directors and certain third parties, we could be required to indemnify and advance expenses to them in connection with their involvement in certain actions, suits, investigations and other proceedings. Any of these payments may be material.",2026-03-13T06:54:56.951819Z,2022-02-18,0.4511,Business Ethics & Values,309,Non-ESG,47.987,UAL_2022_RISK_056,"Regulatory, Tax, Litigation and Legal Compliance Risks",Human Capital Management Risks,,UAL,2026-03-13T06:54:56.951831Z
25,Non-ESG,Corporate Governance,Corporate Governance,股利政策與普通股持有人權益屬股東治理邊界。,,,1806,1,777,"Holders of our common stock may receive dividends that vary from anticipated amounts, or no dividends at all.
We may not have sufficient cash each quarter to pay dividends or maintain current or expected levels of dividends. The actual amount of cash we pay in the form of dividends may fluctuate from quarter to quarter and will depend on various factors, some of which are beyond our control, including our working capital needs, our ability to borrow, the restrictions contained in our indentures and credit facility, our debt service requirements and the cost of acquisitions, if any.  A failure either to pay dividends or to pay dividends at expected levels could result in a loss of investor confidence, reputational damage and a decrease in the value of our stock price.",2026-03-13T06:56:50.683121Z,2022-03-01,0.6253,Non-ESG,311,Non-ESG,44.222,OKE_2022_RISK_042,"Holders of our common stock may receive dividends that vary from anticipated amounts, or no dividends at all.",GENERAL RISK FACTORS,,OKE,2026-03-13T06:56:50.683129Z
